n,N,lp,rp,sp,e
36,1342,0.25,0.25,0.5,2e-06
36,1251,0.25,0.25,0.5,4e-06
36,1198,0.25,0.25,0.5,6e-06
36,1161,0.25,0.25,0.5,8e-06
36,1131,0.25,0.25,0.5,1e-05
36,1107,0.25,0.25,0.5,1.2e-05
36,1087,0.25,0.25,0.5,1.4e-05
36,1070,0.25,0.25,0.5,1.6e-05
36,1054,0.25,0.25,0.5,1.8e-05
36,1040,0.25,0.25,0.5,2e-05
36,1028,0.25,0.25,0.5,2.2e-05
36,1016,0.25,0.25,0.5,2.4e-05
36,1006,0.25,0.25,0.5,2.6e-05
36,996,0.25,0.25,0.5,2.8e-05
36,987,0.25,0.25,0.5,3e-05
36,979,0.25,0.25,0.5,3.2e-05
36,971,0.25,0.25,0.5,3.4e-05
36,963,0.25,0.25,0.5,3.6e-05
36,956,0.25,0.25,0.5,3.8e-05
36,950,0.25,0.25,0.5,4e-05
36,943,0.25,0.25,0.5,4.2e-05
36,937,0.25,0.25,0.5,4.4e-05
36,931,0.25,0.25,0.5,4.6e-05
36,926,0.25,0.25,0.5,4.8e-05
36,920,0.25,0.25,0.5,5e-05
36,915,0.25,0.25,0.5,5.2e-05
36,910,0.25,0.25,0.5,5.4e-05
36,905,0.25,0.25,0.5,5.6e-05
36,901,0.25,0.25,0.5,5.8e-05
36,896,0.25,0.25,0.5,6e-05
36,892,0.25,0.25,0.5,6.2e-05
36,888,0.25,0.25,0.5,6.4e-05
36,884,0.25,0.25,0.5,6.6e-05
36,880,0.25,0.25,0.5,6.8e-05
36,876,0.25,0.25,0.5,7e-05
36,872,0.25,0.25,0.5,7.2e-05
36,869,0.25,0.25,0.5,7.4e-05
36,865,0.25,0.25,0.5,7.6e-05
36,862,0.25,0.25,0.5,7.8e-05
36,859,0.25,0.25,0.5,8e-05
36,855,0.25,0.25,0.5,8.2e-05
36,852,0.25,0.25,0.5,8.4e-05
36,849,0.25,0.25,0.5,8.6e-05
36,846,0.25,0.25,0.5,8.8e-05
36,843,0.25,0.25,0.5,9e-05
36,840,0.25,0.25,0.5,9.2e-05
36,837,0.25,0.25,0.5,9.4e-05
36,835,0.25,0.25,0.5,9.6e-05
36,832,0.25,0.25,0.5,9.8e-05
36,829,0.25,0.25,0.5,0.0001
